names,rehnquist,stevens,o'connor,scalia,kennedy,souter,thomas,ginsburg,breyer,roberts,alito,sotomayor,kagan,,rehnquist,stevens,o'connor,scalia,kennedy,souter,thomas,ginsburg,breyer,roberts,alito,sotomayor,kagan
Wisconsin Dept. of Health and Family Servs. v. Blumer,1,0,0,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Swierkiewicz v. Sorema N. A.,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Porter v. Nussle,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Raygor v. Regents of Univ. of Minn.,1,0,1,1,1,0,1,0.5,0,,,,,,,,,,,,,,,,,,
New York v. FERC,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Young v. United States,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
United States v. Vonn,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
"Ragsdale v. Wolverine World Wide, Inc.",1,1,0,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,
Edelman v. Lynchburg College,1,1,0.5,0.5,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Department of Housing and Urban Development v. Rucker,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
"Hoffman Plastic Compounds, Inc. v. NLRB",1,0,1,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,
Mickens v. Taylor,1,0,1,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,
Barnhart v. Walton,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
#NAME?,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Sao Paulo State of Federative Republic of Brazil v. American Tobacco Co.,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Ashcroft v. Free Speech Coalition,0,1,0,0,1,1,0.5,1,1,,,,,,,,,,,,,,,,,,
United States v. Craft,1,0,1,0,1,1,0,1,1,,,,,,,,,,,,,,,,,,
"Tahoe-Sierra Preservation Council, Inc. v. Tahoe Regional Planning Agency",0,1,1,0,1,1,0,1,1,,,,,,,,,,,,,,,,,,
Thompson v. Western States Medical Center,0,0,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,
"US Airways, Inc. v. Barnett",1,1,1,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,
"Los Angeles v. Alameda Books, Inc.",1,0,0,1,0.5,0,1,0,0,,,,,,,,,,,,,,,,,,
Verizon Communications Inc. v. FCC,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,
Ashcroft v. American Civil Liberties Union,1,0,1,1,0.5,0.5,0.5,0.5,1,,,,,,,,,,,,,,,,,,
Lapides v. Board of Regents of Univ. System of Ga.,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
United States v. Cotton,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Verizon Md. Inc. v. Public Serv. Comm'n of Md.,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Alabama v. Shelton,0,1,1,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,
#NAME?,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Bell v. Cone,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Festo Corp. v. Shoketsu Kinzoku Kogyo Kabushiki Co.,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Federal Maritime Comm'n v. South Carolina Ports Authority,1,0,1,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,
Gisbrecht v. Barnhart,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,
SEC v. Zandford,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
"Holmes Group, Inc. v. Vornado Air Circulation Systems, Inc.",1,1,0.5,1,1,1,1,0.5,1,,,,,,,,,,,,,,,,,,
Devlin v. Scardelletti,1,1,1,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,
McKune v. Lile,1,0,0.5,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,
Chevron U. S. A. Inc. v. Echazabal,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
JPMorgan Chase Bank v. Traffic Stream (BVI) Infrastructure Ltd.,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
National Railroad Passenger Corporation v. Morgan,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Franconia Associates v. United States,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
"Watchtower Bible & Tract Soc. of N. Y., Inc. v. Village of Stratton",0,1,1,0.5,1,1,0.5,1,1,,,,,,,,,,,,,,,,,,
Barnes v. Gorman,1,0.5,1,1,1,1,1,0.5,0.5,,,,,,,,,,,,,,,,,,
United States v. Drayton,1,0,1,1,1,0,1,0,1,,,,,,,,,,,,,,,,,,
Carey v. Saffold,0,1,1,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,
"United States v. Fior D'Italia, Inc.",1,1,1,0,1,0,0,1,1,,,,,,,,,,,,,,,,,,
Horn v. Banks,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Gonzaga University v. Doe,1,0,1,1,1,0.5,1,0,0.5,,,,,,,,,,,,,,,,,,
Atkins v. Virginia,0,1,1,0,1,1,0,1,1,,,,,,,,,,,,,,,,,,
"Rush Prudential HMO, Inc. v. Moran",0,1,1,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,
Christopher v. Harbury,1,1,1,1,1,1,0.5,1,1,,,,,,,,,,,,,,,,,,
"City of Columbus v. Ours Garage & Wrecker Service, Inc.",1,1,0,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Utah v. Evans,1,1,1,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,
BE&K Construction Co. v. NLRB,1,0.5,1,1,1,0.5,1,0.5,0.5,,,,,,,,,,,,,,,,,,
Harris v. United States,1,0,1,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,
Ring v. Arizona,0,1,0,1,1,1,1,1,0.5,,,,,,,,,,,,,,,,,,
United States v. Ruiz,1,1,1,1,1,1,0.5,1,1,,,,,,,,,,,,,,,,,,
Kirk v. Louisiana,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Zelman v. Simmons-Harris,1,0,1,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,
Hope v. Pelzer,0,1,1,0,1,1,0,1,1,,,,,,,,,,,,,,,,,,
Republican Party of Minnesota v. White,1,0,1,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,
Board of Ed. of Independent School Dist. No. 92 of Pottawatomie Cty. v. Earls,1,0,0,1,1,0,1,0,1,,,,,,,,,,,,,,,,,,
Stewart v. Smith,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
United States v. Bass,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
#NAME?,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Early v. Packer,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
INS v. Ventura,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Woodford v. Visciotti,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
"Syngenta Crop Protection, Inc. v. Henson",1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
"Yellow Transportation, Inc. v. Michigan",1,0.5,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Sprietsma v. Mercury Marine,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
United States v. Bean,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
"Howsam v. Dean Witter Reynolds, Inc.",1,1,1,1,1,1,0.5,1,1,,,,,,,,,,,,,,,,,,
=Abdur'Rahman v. Bell,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
#NAME?,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Sattazahn v. Pennsylvania,1,0,1,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,
Pierce County v. Guillen,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Barnhart v. Peabody Coal Co.,1,1,0,0,1,1,0,1,1,,,,,,,,,,,,,,,,,,
Eldred v. Ashcroft,1,0,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,
United States v. Jimenez Recio,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Meyer v. Holley,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
"FCC v. NextWave Personal Communications, Inc.",1,1,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,
Miller-El v. Cockrell,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,,,,,,,
Washington State Dept. of Social and Health Servs. v. Guardianship Estate of Keffeler,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
article=Scheidler v. National Organization for Women (2003),1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
"Moseley v. V Secret Catalogue, Inc.",1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Boeing Co. v. United States,1,1,1,0,1,1,0,1,1,,,,,,,,,,,,,,,,,,
